Sea Ice Surface Characteristics from High Resolution Reconnaissance Imagery data file - F. Fetterer
/disks/sue9/h/nsidc/sea_ice99/beaufo/tiff2/beaufo_1999aug06a_2c.tif
Fri Jun 27 13:24:23 2003
cell  ice   pond  owtr  water
0902  0.00  9.99  9.99  1.00
0903  0.00  9.99  9.99  1.00
0904  0.00  9.99  9.99  1.00
0905  0.00  9.99  9.99  1.00
0906  0.00  9.99  9.99  1.00
0907  0.16  9.99  9.99  0.84
0908  0.15  9.99  9.99  0.85
0909  0.00  9.99  9.99  1.00
0910  0.03  9.99  9.99  0.97
0911  0.19  9.99  9.99  0.81
0912  0.42  9.99  9.99  0.58
0913  0.43  9.99  9.99  0.57
0914  0.29  9.99  9.99  0.71
0915  0.26  9.99  9.99  0.74
0916  0.41  9.99  9.99  0.59
0917  0.41  9.99  9.99  0.59
0918  0.39  9.99  9.99  0.61
0919  0.42  9.99  9.99  0.58
0920  0.38  9.99  9.99  0.62
1001  0.00  9.99  9.99  1.00
1002  0.00  9.99  9.99  1.00
1003  0.00  9.99  9.99  1.00
1004  0.00  9.99  9.99  1.00
1005  0.00  9.99  9.99  1.00
1006  0.00  9.99  9.99  1.00
1007  0.01  9.99  9.99  0.99
1008  0.01  9.99  9.99  0.99
1009  0.01  9.99  9.99  0.99
1010  0.21  9.99  9.99  0.79
1011  0.48  9.99  9.99  0.52
1012  0.41  9.99  9.99  0.59
1013  0.34  9.99  9.99  0.66
1014  0.33  9.99  9.99  0.67
1015  0.44  9.99  9.99  0.56
1016  0.40  9.99  9.99  0.60
1017  0.37  9.99  9.99  0.63
1018  0.34  9.99  9.99  0.66
1019  0.38  9.99  9.99  0.62
1020  0.39  9.99  9.99  0.61
1101  0.00  9.99  9.99  1.00
1102  0.00  9.99  9.99  1.00
1103  0.00  9.99  9.99  1.00
1104  0.00  9.99  9.99  1.00
1105  0.00  9.99  9.99  1.00
1106  0.00  9.99  9.99  1.00
1107  0.00  9.99  9.99  1.00
1108  0.00  9.99  9.99  1.00
1109  0.00  9.99  9.99  1.00
1110  0.00  9.99  9.99  1.00
1111  0.29  9.99  9.99  0.71
1112  0.40  9.99  9.99  0.60
1113  0.35  9.99  9.99  0.65
1114  0.27  9.99  9.99  0.73
1115  0.33  9.99  9.99  0.67
1116  0.35  9.99  9.99  0.65
1117  0.35  9.99  9.99  0.65
1118  0.38  9.99  9.99  0.62
1119  0.43  9.99  9.99  0.57
1120  0.34  9.99  9.99  0.66
1201  0.01  9.99  9.99  0.99
1202  0.06  9.99  9.99  0.94
1203  0.00  9.99  9.99  1.00
1204  0.01  9.99  9.99  0.99
1205  0.05  9.99  9.99  0.95
1206  0.00  9.99  9.99  1.00
1207  0.00  9.99  9.99  1.00
1208  0.00  9.99  9.99  1.00
1209  0.00  9.99  9.99  1.00
1210  0.00  9.99  9.99  1.00
1211  0.10  9.99  9.99  0.90
1212  0.41  9.99  9.99  0.59
1213  0.33  9.99  9.99  0.67
1214  0.37  9.99  9.99  0.63
1215  0.36  9.99  9.99  0.64
1216  0.26  9.99  9.99  0.74
1217  0.43  9.99  9.99  0.57
1218  0.44  9.99  9.99  0.56
1219  0.30  9.99  9.99  0.70
1220  0.41  9.99  9.99  0.59
1301  0.00  9.99  9.99  1.00
1302  0.03  9.99  9.99  0.97
1303  0.00  9.99  9.99  1.00
1304  0.00  9.99  9.99  1.00
1305  0.00  9.99  9.99  1.00
1306  0.00  9.99  9.99  1.00
1307  0.00  9.99  9.99  1.00
1308  0.00  9.99  9.99  1.00
1309  0.00  9.99  9.99  1.00
1310  0.00  9.99  9.99  1.00
1311  0.32  9.99  9.99  0.68
1312  0.46  9.99  9.99  0.54
1313  0.37  9.99  9.99  0.63
1314  0.44  9.99  9.99  0.56
1315  0.42  9.99  9.99  0.58
1316  0.44  9.99  9.99  0.56
1317  0.44  9.99  9.99  0.56
1318  0.37  9.99  9.99  0.63
1319  0.36  9.99  9.99  0.64
1320  0.44  9.99  9.99  0.56
1401  0.00  9.99  9.99  1.00
1402  0.01  9.99  9.99  0.99
1403  0.02  9.99  9.99  0.98
1404  0.00  9.99  9.99  1.00
1405  0.00  9.99  9.99  1.00
1406  0.00  9.99  9.99  1.00
1407  0.00  9.99  9.99  1.00
1408  0.00  9.99  9.99  1.00
1409  0.00  9.99  9.99  1.00
1410  0.00  9.99  9.99  1.00
1411  0.31  9.99  9.99  0.69
1412  0.49  9.99  9.99  0.51
1413  0.48  9.99  9.99  0.52
1414  0.40  9.99  9.99  0.60
1415  0.47  9.99  9.99  0.53
1416  0.60  9.99  9.99  0.40
1417  0.43  9.99  9.99  0.57
1418  0.34  9.99  9.99  0.66
1419  0.34  9.99  9.99  0.66
1420  0.35  9.99  9.99  0.65
1501  0.00  9.99  9.99  1.00
1502  0.00  9.99  9.99  1.00
1503  0.02  9.99  9.99  0.98
1504  0.00  9.99  9.99  1.00
1505  0.00  9.99  9.99  1.00
1506  0.00  9.99  9.99  1.00
1507  0.00  9.99  9.99  1.00
1508  0.02  9.99  9.99  0.98
1509  0.09  9.99  9.99  0.91
1510  0.32  9.99  9.99  0.68
1511  0.42  9.99  9.99  0.58
1512  0.44  9.99  9.99  0.56
1513  0.35  9.99  9.99  0.65
1514  0.41  9.99  9.99  0.59
1515  0.43  9.99  9.99  0.57
1516  0.50  9.99  9.99  0.50
1517  0.36  9.99  9.99  0.64
1518  0.28  9.99  9.99  0.72
1519  0.33  9.99  9.99  0.67
1520  0.42  9.99  9.99  0.58
1601  9.99  9.99  9.99  9.99
1602  0.00  9.99  9.99  1.00
1603  0.00  9.99  9.99  1.00
1604  0.00  9.99  9.99  1.00
1605  0.00  9.99  9.99  1.00
1606  0.00  9.99  9.99  1.00
1607  0.05  9.99  9.99  0.95
1608  0.05  9.99  9.99  0.95
1609  0.56  9.99  9.99  0.44
1610  0.62  9.99  9.99  0.38
1611  0.45  9.99  9.99  0.55
1612  0.48  9.99  9.99  0.52
1613  0.40  9.99  9.99  0.60
1614  0.39  9.99  9.99  0.61
1615  0.42  9.99  9.99  0.58
1616  0.33  9.99  9.99  0.67
1617  0.28  9.99  9.99  0.72
1618  0.28  9.99  9.99  0.72
1619  0.32  9.99  9.99  0.68
1620  0.39  9.99  9.99  0.61
1701  9.99  9.99  9.99  9.99
1702  9.99  9.99  9.99  9.99
1703  0.00  9.99  9.99  1.00
1704  0.00  9.99  9.99  1.00
1705  0.00  9.99  9.99  1.00
1706  0.04  9.99  9.99  0.96
1707  0.19  9.99  9.99  0.81
1708  0.21  9.99  9.99  0.79
1709  0.59  9.99  9.99  0.41
1710  0.65  9.99  9.99  0.35
1711  0.50  9.99  9.99  0.50
1712  0.41  9.99  9.99  0.59
1713  0.38  9.99  9.99  0.62
1714  0.36  9.99  9.99  0.64
1715  0.42  9.99  9.99  0.58
1716  0.34  9.99  9.99  0.66
1717  0.27  9.99  9.99  0.73
1718  0.33  9.99  9.99  0.67
1719  0.35  9.99  9.99  0.65
1720  9.99  9.99  9.99  9.99
1801  9.99  9.99  9.99  9.99
1802  9.99  9.99  9.99  9.99
1803  9.99  9.99  9.99  9.99
1804  0.00  9.99  9.99  1.00
1805  0.29  9.99  9.99  0.71
1806  0.40  9.99  9.99  0.60
1807  0.50  9.99  9.99  0.50
1808  0.47  9.99  9.99  0.53
1809  0.36  9.99  9.99  0.64
1810  0.37  9.99  9.99  0.63
1811  0.39  9.99  9.99  0.61
1812  0.43  9.99  9.99  0.57
1813  0.38  9.99  9.99  0.62
1814  0.38  9.99  9.99  0.62
1815  0.40  9.99  9.99  0.60
1816  0.38  9.99  9.99  0.62
1817  0.32  9.99  9.99  0.68
1818  0.36  9.99  9.99  0.64
1819  0.28  9.99  9.99  0.72
1820  9.99  9.99  9.99  9.99
1901  9.99  9.99  9.99  9.99
1902  9.99  9.99  9.99  9.99
1903  9.99  9.99  9.99  9.99
1904  9.99  9.99  9.99  9.99
1905  0.30  9.99  9.99  0.70
1906  0.36  9.99  9.99  0.64
1907  0.30  9.99  9.99  0.70
1908  0.35  9.99  9.99  0.65
1909  0.43  9.99  9.99  0.57
1910  0.48  9.99  9.99  0.52
1911  0.44  9.99  9.99  0.56
1912  0.42  9.99  9.99  0.58
1913  0.41  9.99  9.99  0.59
1914  0.38  9.99  9.99  0.62
1915  0.27  9.99  9.99  0.73
1916  0.41  9.99  9.99  0.59
1917  0.32  9.99  9.99  0.68
1918  0.27  9.99  9.99  0.73
1919  9.99  9.99  9.99  9.99
1920  9.99  9.99  9.99  9.99
2001  9.99  9.99  9.99  9.99
2002  9.99  9.99  9.99  9.99
2003  9.99  9.99  9.99  9.99
2004  9.99  9.99  9.99  9.99
2005  9.99  9.99  9.99  9.99
2006  0.37  9.99  9.99  0.63
2007  0.49  9.99  9.99  0.51
2008  0.47  9.99  9.99  0.53
2009  0.50  9.99  9.99  0.50
2010  0.51  9.99  9.99  0.49
2011  0.41  9.99  9.99  0.59
2012  0.37  9.99  9.99  0.63
2013  0.37  9.99  9.99  0.63
2014  0.29  9.99  9.99  0.71
2015  0.33  9.99  9.99  0.67
2016  0.40  9.99  9.99  0.60
2017  0.22  9.99  9.99  0.78
2018  9.99  9.99  9.99  9.99
2019  9.99  9.99  9.99  9.99
2020  9.99  9.99  9.99  9.99
